datetime,direction,score,pos_size,tp_pct,sl_pct,result,pnl,capital_after,conf_4h,conf_15m,atr_pct
2024-12-05 07:00:00,LONG,64.21,19.92,1.4583,0.9722,WIN,0.2503,996.08,0.5662,0.618,0.6482
2024-12-05 07:45:00,LONG,64.03,19.92,1.3851,0.9234,LOSS,-0.2236,995.86,0.5662,0.5548,0.6156
2024-12-15 23:15:00,LONG,63.26,19.92,0.8322,0.5548,WIN,0.1257,995.98,0.6153,0.5953,0.3698
2024-12-16 00:15:00,LONG,55.59,19.92,0.9554,0.6369,WIN,0.1503,996.14,0.6014,0.5572,0.4246
2024-12-20 00:00:00,SHORT,50.88,19.92,1.7466,1.1644,WIN,0.3085,996.44,0.6043,0.5745,0.7763
2024-12-20 11:45:00,SHORT,68.97,24.91,1.7619,1.1746,LOSS,-0.3427,996.1,0.7237,0.5396,0.7831
2025-01-06 15:15:00,LONG,59.61,19.92,1.0602,0.7068,LOSS,-0.1805,995.92,0.6333,0.5933,0.4712
2025-01-06 16:00:00,LONG,57.06,19.92,1.0575,0.705,LOSS,-0.1801,995.74,0.6165,0.6049,0.47
2025-01-06 16:45:00,LONG,52.77,19.91,1.0763,0.7176,LOSS,-0.1826,995.56,0.6165,0.5414,0.4784
2025-01-17 16:00:00,LONG,60.41,19.91,0.9551,0.6367,WIN,0.1502,995.71,0.6192,0.562,0.4245
2025-01-17 16:45:00,LONG,62.33,19.91,0.9302,0.6201,LOSS,-0.1632,995.54,0.6192,0.6045,0.4134
2025-01-27 09:30:00,SHORT,50.39,19.91,1.3101,0.8734,LOSS,-0.2139,995.33,0.6064,0.5399,0.5823
2025-01-27 10:15:00,SHORT,50.13,19.91,1.2053,0.8035,LOSS,-0.1999,995.13,0.6064,0.5542,0.5357
2025-02-03 02:45:00,SHORT,51.94,19.9,2.7136,1.809,LOSS,-0.4002,994.73,0.6472,0.5445,1.206
2025-02-03 03:30:00,SHORT,57.32,19.89,2.5289,1.6859,LOSS,-0.3755,994.35,0.6472,0.5174,1.124
2025-02-03 08:30:00,SHORT,51.24,19.89,1.7074,1.1383,LOSS,-0.2664,994.09,0.5582,0.5696,0.7588
2025-02-03 09:30:00,SHORT,50.92,19.88,1.5796,1.0531,WIN,0.2746,994.36,0.5582,0.5436,0.7021
2025-02-25 12:00:00,SHORT,70.59,19.89,1.7088,1.1392,WIN,0.3004,994.66,0.6633,0.577,0.7595
2025-02-25 12:45:00,SHORT,70.28,19.89,1.5805,1.0537,WIN,0.2749,994.94,0.6633,0.5627,0.7024
2025-02-25 13:30:00,SHORT,70.02,19.9,1.4766,0.9844,WIN,0.2543,995.19,0.6633,0.5844,0.6563
2025-02-25 14:15:00,SHORT,70.0,19.9,1.4675,0.9783,WIN,0.2526,995.45,0.6633,0.5533,0.6522
2025-02-25 19:45:00,SHORT,50.77,19.91,1.749,1.166,LOSS,-0.2722,995.17,0.6028,0.5231,0.7773
2025-02-25 20:30:00,SHORT,59.2,19.9,1.8047,1.2031,LOSS,-0.2795,994.89,0.5848,0.5847,0.8021
2025-02-25 21:15:00,SHORT,59.1,19.9,1.7627,1.1751,LOSS,-0.2739,994.62,0.5848,0.5645,0.7834
2025-02-25 22:00:00,SHORT,57.44,19.89,1.6553,1.1035,LOSS,-0.2595,994.36,0.5848,0.5482,0.7357
2025-02-25 22:45:00,SHORT,58.53,19.89,1.5326,1.0217,LOSS,-0.2432,994.12,0.5848,0.5506,0.6812
2025-02-26 13:45:00,SHORT,52.22,19.88,0.8813,0.5876,WIN,0.1356,994.25,0.6036,0.5659,0.3917
2025-02-26 19:30:00,SHORT,53.87,19.89,2.2644,1.5096,LOSS,-0.3403,993.91,0.6049,0.5146,1.0064
2025-02-26 20:15:00,SHORT,50.65,19.88,2.46,1.64,LOSS,-0.3661,993.55,0.5562,0.526,1.0933
2025-02-26 21:00:00,SHORT,62.47,19.87,2.3495,1.5664,LOSS,-0.3513,993.2,0.5562,0.5372,1.0442
2025-02-26 21:45:00,SHORT,62.62,19.86,2.4072,1.6048,LOSS,-0.3588,992.84,0.5562,0.5582,1.0699
2025-02-26 22:30:00,SHORT,62.29,19.86,2.2767,1.5178,LOSS,-0.3414,992.49,0.5562,0.5999,1.0118
