datetime,direction,score,pos_size,tp_pct,sl_pct,rr_actual,result,pnl,capital_after,conf_4h,conf_15m_dir,conf_15m_opp,atr_15m,atr_4h_used,macro_ema,trade_pct
2025-04-22 21:00:00,LONG,81.3,42.57,2.555,1.2775,2.0,WIN,1.0015,1065.29,0.7795,0.4294,0.2813,0.336,1.2775,10.2788,0.04
2025-04-22 22:00:00,LONG,74.73,42.61,2.555,1.2775,2.0,WIN,1.0024,1066.29,0.7795,0.4147,0.2956,0.5483,1.2775,10.2788,0.04
2025-04-22 23:00:00,LONG,82.75,42.65,2.555,1.2775,2.0,WIN,1.0033,1067.3,0.7795,0.4943,0.2956,0.5084,1.2775,10.2788,0.04
2025-04-23 00:00:00,LONG,67.58,42.69,2.5832,1.2916,2.0,LOSS,-0.6362,1066.66,0.6677,0.498,0.2813,0.5077,1.2916,9.8465,0.04
2025-04-23 01:45:00,LONG,67.54,34.67,2.5832,1.2916,2.0,WIN,0.8253,1067.48,0.6677,0.4824,0.2813,0.5001,1.2916,9.8465,0.0325
2025-04-23 02:45:00,LONG,66.61,34.69,2.5832,1.2916,2.0,WIN,0.8259,1068.31,0.6677,0.4294,0.2818,0.4459,1.2916,9.8465,0.0325
2025-04-23 04:00:00,LONG,74.77,34.72,2.5633,1.2816,2.0,WIN,0.8196,1069.13,0.781,0.4147,0.2956,0.3813,1.2816,10.863,0.0325
2025-04-23 07:15:00,LONG,78.51,34.75,2.5633,1.2816,2.0,WIN,0.8203,1069.95,0.781,0.4943,0.3595,0.3018,1.2816,10.863,0.0325
2025-04-23 09:45:00,LONG,63.53,42.8,2.5802,1.2901,2.0,LOSS,-0.6372,1069.31,0.6946,0.4824,0.357,0.3025,1.2901,9.9662,0.04
2025-04-23 10:45:00,LONG,70.14,42.77,2.5802,1.2901,2.0,WIN,1.017,1070.33,0.6946,0.498,0.2813,0.3086,1.2901,9.9662,0.04
2025-04-23 11:45:00,LONG,69.98,50.84,2.5802,1.2901,2.0,WIN,1.2088,1071.54,0.6946,0.498,0.2813,0.279,1.2901,9.9662,0.0475
2025-04-23 12:45:00,LONG,65.42,58.93,2.826,1.413,2.0,WIN,1.546,1073.09,0.6642,0.498,0.2956,0.2728,1.413,9.5426,0.055
2025-04-23 14:45:00,LONG,66.48,67.07,2.826,1.413,2.0,LOSS,-1.0809,1072.0,0.6642,0.4337,0.2818,0.4652,1.413,9.5426,0.0625
2025-04-23 15:45:00,LONG,65.8,67.0,2.826,1.413,2.0,LOSS,-1.0798,1070.92,0.6642,0.4275,0.2813,0.5237,1.413,9.5426,0.0625
2025-05-08 15:15:00,LONG,63.57,66.93,2.2459,1.1229,2.0,WIN,1.3679,1072.29,0.6386,0.4943,0.2956,0.3266,1.1229,10.4375,0.0625
2025-05-08 20:30:00,LONG,69.66,75.06,2.4279,1.214,2.0,WIN,1.6705,1073.96,0.6582,0.498,0.2956,0.3685,1.214,12.9108,0.07
2025-05-08 21:30:00,LONG,67.3,83.23,2.4279,1.214,2.0,WIN,1.8523,1075.82,0.6582,0.4337,0.2956,0.5164,1.214,12.9108,0.0775
2025-05-09 00:30:00,LONG,64.95,91.44,2.3985,1.1992,2.0,WIN,2.0082,1077.82,0.6606,0.4275,0.2923,0.4235,1.1992,11.8906,0.085
2025-05-09 02:15:00,LONG,66.31,91.61,2.3985,1.1992,2.0,WIN,2.0119,1079.84,0.6606,0.4337,0.2923,0.3712,1.1992,11.8906,0.085
2025-05-09 03:15:00,LONG,68.41,91.79,2.3985,1.1992,2.0,WIN,2.0157,1081.85,0.6606,0.4978,0.2818,0.3337,1.1992,11.8906,0.085
2025-05-09 04:15:00,LONG,63.58,91.96,2.4758,1.2379,2.0,WIN,2.0905,1083.94,0.6133,0.498,0.2813,0.3002,1.2379,13.0286,0.085
2025-05-09 05:15:00,LONG,63.39,100.26,2.4758,1.2379,2.0,WIN,2.2793,1086.22,0.6133,0.498,0.2956,0.2676,1.2379,13.0286,0.0925
2025-05-09 07:30:00,LONG,60.21,108.62,2.4758,1.2379,2.0,LOSS,-1.5605,1084.66,0.6133,0.4337,0.2956,0.2671,1.2379,13.0286,0.1
2025-05-09 09:45:00,LONG,62.7,100.33,2.5233,1.2616,2.0,LOSS,-1.4652,1083.2,0.611,0.4978,0.2923,0.4037,1.2616,12.1601,0.0925
2025-05-09 10:45:00,LONG,60.02,100.2,2.5233,1.2616,2.0,LOSS,-1.4632,1081.73,0.611,0.4978,0.357,0.3655,1.2616,12.1601,0.0925
2025-05-09 22:45:00,LONG,60.8,100.06,2.4157,1.2079,2.0,WIN,2.2146,1083.95,0.6345,0.4943,0.357,0.2125,1.2079,11.7711,0.0925
2025-05-10 23:15:00,LONG,61.9,100.27,2.1735,1.0867,2.0,LOSS,-1.289,1082.66,0.6038,0.498,0.2813,0.2409,1.0867,12.9467,0.0925
2025-05-18 14:45:00,LONG,64.19,92.03,1.7305,0.8653,2.0,WIN,1.4069,1084.06,0.6628,0.6471,0.2813,0.2006,0.8653,9.0591,0.085
2025-05-18 15:45:00,LONG,64.34,92.15,1.7305,0.8653,2.0,LOSS,-0.9808,1083.08,0.6628,0.498,0.2813,0.2288,0.8653,9.0591,0.085
2025-06-09 21:00:00,LONG,65.81,92.06,1.8352,0.9176,2.0,WIN,1.5037,1084.59,0.7015,0.498,0.2813,0.247,0.9176,6.2932,0.085
2025-07-09 16:15:00,LONG,64.14,100.32,1.6501,0.8251,2.0,WIN,1.4532,1086.04,0.7488,0.4522,0.3237,0.2178,0.8251,4.839,0.0925
2025-07-09 17:15:00,LONG,69.8,108.6,1.6501,0.8251,2.0,WIN,1.5731,1087.61,0.7488,0.498,0.2956,0.2054,0.8251,4.839,0.1
2025-07-09 18:30:00,LONG,66.6,116.92,1.6501,0.8251,2.0,WIN,1.6936,1089.31,0.7488,0.4337,0.2956,0.2009,0.8251,4.839,0.1075
2025-07-09 19:30:00,LONG,70.21,125.27,1.6501,0.8251,2.0,LOSS,-1.2831,1088.02,0.7488,0.498,0.2956,0.2791,0.8251,4.839,0.115
2025-07-10 16:30:00,LONG,67.66,116.96,1.759,0.8795,2.0,WIN,1.8214,1089.85,0.7415,0.4337,0.2956,0.2816,0.8795,6.0074,0.1075
2025-07-10 17:30:00,LONG,70.98,125.33,1.759,0.8795,2.0,LOSS,-1.3519,1088.49,0.7415,0.498,0.2956,0.3081,0.8795,6.0074,0.115
2025-07-10 21:15:00,LONG,63.34,117.01,2.0382,1.0191,2.0,WIN,2.1485,1090.64,0.6521,0.5678,0.2813,0.4458,1.0191,8.4491,0.1075
2025-07-10 22:15:00,LONG,63.52,125.42,2.0382,1.0191,2.0,WIN,2.3029,1092.94,0.6521,0.498,0.2813,0.4787,1.0191,8.4491,0.115
2025-07-10 23:15:00,LONG,63.12,125.69,2.0382,1.0191,2.0,WIN,2.3078,1095.25,0.6521,0.4337,0.2813,0.4051,1.0191,8.4491,0.115
2025-07-11 00:45:00,LONG,60.99,134.17,2.0896,1.0448,2.0,WIN,2.5325,1097.79,0.63,0.4337,0.2813,0.3697,1.0448,9.1633,0.1225
2025-07-11 01:45:00,LONG,60.21,142.71,2.0896,1.0448,2.0,WIN,2.6938,1100.48,0.63,0.4294,0.2813,0.3179,1.0448,9.1633,0.13
2025-07-11 02:45:00,LONG,60.63,143.06,2.0896,1.0448,2.0,WIN,2.7004,1103.18,0.63,0.498,0.2818,0.3043,1.0448,9.1633,0.13
